iter	Passed	Remaining
0	159	159560
1	160	80230
2	161	53708
3	162	40458
4	163	32511
5	164	27241
6	166	23558
7	168	20862
8	170	18728
9	172	17032
10	173	15574
11	174	14342
12	175	13292
13	176	12399
14	177	11625
15	177	10940
16	178	10332
17	179	9794
18	180	9324
19	183	9007
20	186	8674
21	186	8312
22	187	7974
23	188	7673
24	189	7392
25	190	7143
26	191	6905
27	192	6679
28	193	6465
29	193	6269
30	194	6084
31	195	5920
32	196	5770
33	198	5628
34	199	5500
35	200	5380
36	202	5259
37	202	5134
38	203	5017
39	204	4904
40	205	4799
41	205	4696
42	206	4606
43	207	4513
44	208	4425
45	209	4342
46	210	4268
47	211	4199
48	213	4135
49	214	4072
50	215	4004
51	215	3936
52	216	3871
53	217	3808
54	218	3748
55	218	3691
56	219	3633
57	220	3579
58	221	3525
59	221	3475
60	222	3425
61	223	3382
62	224	3343
63	225	3300
64	226	3263
65	227	3226
66	228	3187
67	229	3147
68	230	3108
69	231	3070
70	231	3033
71	232	2997
72	233	2961
73	233	2927
74	234	2893
75	235	2859
76	235	2828
77	236	2797
78	237	2766
79	238	2737
80	239	2716
81	240	2694
82	241	2666
83	242	2643
84	243	2617
85	243	2592
86	244	2566
87	245	2541
88	245	2517
89	246	2495
90	247	2472
91	248	2450
92	248	2428
93	249	2406
94	250	2384
95	251	2364
96	251	2343
97	252	2323
98	254	2312
99	256	2307
100	257	2293
101	258	2278
102	259	2262
103	260	2245
104	261	2229
105	262	2213
106	263	2197
107	264	2181
108	264	2166
109	265	2149
110	266	2134
111	267	2120
112	268	2110
113	270	2099
114	271	2088
115	272	2079
116	273	2063
117	274	2049
118	274	2035
119	275	2022
120	276	2009
121	277	1995
122	278	1982
123	278	1969
124	279	1956
125	280	1944
126	280	1930
127	281	1918
128	282	1906
129	283	1897
130	284	1889
131	286	1881
132	287	1873
133	288	1862
134	289	1851
135	289	1840
136	290	1829
137	291	1819
138	292	1809
139	292	1798
140	293	1788
141	294	1776
142	294	1766
143	295	1757
144	296	1747
145	297	1737
146	298	1730
147	299	1724
148	301	1721
149	302	1714
150	303	1705
151	304	1696
152	304	1687
153	305	1678
154	306	1669
155	307	1662
156	308	1653
157	308	1645
158	309	1637
159	310	1628
160	310	1619
161	311	1611
162	312	1603
163	313	1598
164	314	1591
165	316	1588
166	317	1582
167	318	1575
168	318	1568
169	319	1560
170	320	1553
171	321	1545
172	321	1538
173	322	1531
174	323	1524
175	324	1517
176	324	1510
177	325	1503
178	326	1496
179	327	1490
180	328	1484
181	329	1479
182	330	1475
183	331	1470
184	332	1465
185	333	1459
186	334	1453
187	334	1446
188	335	1440
189	336	1434
190	337	1428
191	337	1421
192	338	1416
193	339	1410
194	340	1404
195	341	1399
196	341	1393
197	342	1387
198	344	1385
199	345	1381
200	347	1379
201	347	1374
202	348	1369
203	349	1363
204	350	1358
205	350	1352
206	351	1347
207	352	1342
208	353	1336
209	354	1331
210	354	1327
211	355	1321
212	356	1316
213	357	1311
214	358	1309
215	359	1305
216	360	1301
217	362	1299
218	362	1294
219	363	1289
220	364	1284
221	365	1279
222	365	1274
223	366	1269
224	367	1264
225	367	1259
226	368	1254
227	369	1250
228	369	1245
229	370	1240
230	371	1236
231	372	1231
232	373	1228
233	374	1225
234	375	1223
235	377	1221
236	378	1217
237	378	1212
238	379	1208
239	380	1204
240	381	1200
241	381	1196
242	382	1192
243	383	1187
244	384	1183
245	384	1179
246	385	1175
247	386	1171
248	386	1166
249	388	1165
250	389	1163
251	391	1160
252	392	1157
253	392	1154
254	393	1150
255	394	1146
256	395	1142
257	395	1138
258	396	1134
259	397	1131
260	398	1127
261	398	1123
262	399	1120
263	400	1116
264	401	1112
265	401	1108
266	403	1106
267	403	1103
268	405	1101
269	406	1098
270	407	1095
271	408	1092
272	408	1088
273	409	1085
274	410	1081
275	411	1078
276	411	1075
277	412	1071
278	413	1068
279	414	1064
280	414	1061
281	415	1058
282	416	1054
283	417	1052
284	418	1049
285	419	1047
286	421	1047
287	422	1044
288	423	1041
289	424	1038
290	424	1034
291	425	1031
292	426	1028
293	427	1025
294	427	1022
295	428	1018
296	429	1016
297	429	1012
298	430	1009
299	431	1006
300	432	1004
301	433	1002
302	435	1000
303	436	999
304	437	996
305	438	993
306	438	990
307	439	987
308	440	984
309	441	981
310	441	979
311	442	976
312	443	973
313	444	970
314	445	968
315	446	965
316	447	964
317	448	962
318	450	960
319	451	958
320	451	955
321	452	953
322	453	950
323	454	947
324	454	944
325	455	941
326	456	938
327	456	935
328	457	933
329	458	930
330	459	928
331	460	925
332	460	923
333	462	921
334	463	919
335	464	918
336	466	916
337	466	914
338	467	911
339	468	908
340	468	906
341	469	903
342	470	901
343	471	898
344	472	896
345	472	893
346	473	891
347	474	888
348	475	886
349	475	883
350	477	882
351	478	880
352	479	878
353	480	876
354	481	874
355	481	871
356	483	870
357	484	868
358	484	865
359	485	863
360	486	861
361	487	859
362	488	856
363	488	854
364	489	851
365	490	849
366	492	849
367	493	847
368	495	847
